Ubicación;Código;MATERIAL;1 LECTURA;2 LECTURAS;DESCRIPCIÓN
M04/B04/00;2140432;SONDA ASPIRACIÓN 14;100;200;SND ASPIRACION CTRL CH14
M04/B06/00;2140433;SONDA ASPIRACIÓN 16;100;200;SND ASPIRACION CTRL CH16
M04/B08/00;2255332;SONDA ASPIRACIÓN 10;50;100;SND ASPIRACION TRAQ..UIAL CTRL CH10 52CM
M04/B09/00;2254212;SONDA ASPIRACIÓN 12;50;100;SND ASPIRACION TRAQ..UIAL CTRL CH12 52CM
M04/B10/00;2318858;CÁMARA PARA INHALADOR VOLUMATIC;1;2;CAM INHALACION UNIV CHAMBER
M04/B10/00;2151116;INSPIRÓMETRO 5 LITROS;2;4;INSPIROMETRO INCENT..DOR RESPIRATORIO 5L
M05/B01/00;2146856;AIRTRAQ LARINGOSCOPIO DESECHABLE VERDE;1;2;LARING OPTICO PEQ DESECH VRD 16MM
M05/B01/00;2147611;AIRTRAQ LARINGOSCOPIO DESECHABLE AZUL;1;2;LARING OPTICO STD DESECH AZL 18MM
M05/B02/00;2225751;MASCARILLA LARÍNGEA C/VÍA GÁSTRICA IGEL 3;2;4;MASC P/ RESUCITADOR.. GASTRICO DESECH N3
M05/B02/00;2225752;MASCARILLA LARÍNGEA C/VÍA GÁSTRICA IGEL 4;2;4;MASC P/ RESUCITADOR.. GASTRICO DESECH N4
M05/B03/00;2138633;BOQUILLA ASPIRADOR YANKAUER;5;10;BOQUILLA ASPIRADOR YANKAUER
M05/B03/00;2138632;BOQUILLA ASPIRADOR YANKAUER S/CONTROL;5;10;BOQUILLA ASPIRADOR YANKAUER S/CONTROL
M05/B03/00;2139103;TUBO MUESTRA ESPUTO BRONCOASPIRADO;3;6;EXTRACTOR MUCOSIDAD
M05/B03/00;2231331;TUBO MUESTRA ESPUTO BRONCOASPIRADO;3;6;ASPIRADOR MUCOSIDAD..IBROSCOPIO 16F 70ML
M05/B07/00;2147351;SENSOR BIS;15;30;SEN MED PROFUNDIDAD ANESTESICA
M05/B08/00;2147473;ALARGADERA CAPNÓGRAFO;10;20;LINEA MUESTREO CAPN.. INT PLET PVC 2,45M
M06/B01/00;2150947;TUBO NASOTRAQUEAL 7;2;4;TB NASAL PREF C/ BAL N7
M06/B02/00;2243557;TUBO OROTRAQUEAL ORAL CORRUGADO 7,5;4;8;TB ENDTRAQ ORAL/NAS.. MURPHY C/ BAL N7,5
M06/B02/00;2243556;TUBO OROTRAQUEAL ORAL CORRUGADO 7;5;10;TB ENDTRAQ ORAL/NAS..AL MURPHY C/ BAL N7
M06/B02/00;2243555;TUBO OROTRAQUEAL ORAL CORRUGADO 6,5;4;8;TB ENDTRAQ ORAL/NAS.. MURPHY C/ BAL N6,5
M06/B03/00;2318902;TUBO OROTRAQUEAL ORAL 9;2;4;TB ENDTRAQ ORAL/NASAL BAL OJAL MURPHY N9
M06/B03/00;2318898;TUBO OROTRAQUEAL ORAL 7;2;4;TB ENDTRAQ ORAL/NASAL BAL OJAL MURPHY N7
M06/B03/00;2318901;TUBO OROTRAQUEAL ORAL 8,5;2;4;TB ENDTRAQ ORAL/NAS..AL OJAL MURPHY N8,5
M06/B03/00;2318900;TUBO OROTRAQUEAL ORAL 8;2;4;TB ENDTRAQ ORAL/NASAL BAL OJAL MURPHY N8
M06/B03/00;2318899;TUBO OROTRAQUEAL ORAL 7,5;2;4;TB ENDTRAQ ORAL/NAS..AL OJAL MURPHY N7,5
M06/B04/00;2148523;FILTRO HUMIDIFICADOR PASIVO HME VERDE;30;60;FIL ANEST C/ HUMIDI..R Y TOMA CAPNOGRAFO
M06/B05/00;2210282;GUSANO PARA VENTILACIÓN C/TUBO ENDOTRAQUEAL;35;70;TB VENT EXTNBL C/CO..TOR GIRA EST 7-16CM
M06/B07/00;2148622;TUBULADURAS P/RESPIRADOR VENTILACIÓN MECÁNICA;8;16;CIRCUITO P/ VENT MEC PVC DESECH 150CM
M07/B01/00;2238388;SONDA RECTAL SILICONA FLEXISEAL;2;4;ST CTRL INC FECAL C.. INFLADO HASTA 45ML
M07/B03/00;2239905;DRENAJE FUELLE 50ML FAROLILLO;2;4;DREN REDON BJ VACIO 50ML
M07/B03/00;2239904;DRENAJE FUELLE 500ML;4;8;DREN REDON BJ VACIO 500ML
M07/B04/00;2140220;DRENAJE JACKSON-PRATT JP 400ML;2;4;RESERV DREN SIL 400ML
M07/B04/00;2140115;DRENAJE REDON BOTELLA 600ML;2;4;DREN REDON ALTO VACIO 600ML
M07/B05/00;2260035;CONTENEDOR DRENAJE VACUM SMITH & NEPHEW;2;4;CONT DREN PRES NEGA..SOLIDIFICADOR 300ML
M08/B02/00;2146334;EQUIPO IRRIGACIÓN EN 'Y' P/SUERO LAVADOR VESICAL;2;4;EQ IRRIG EN 'Y' RTU
M08/B03/00;2141012;KIT SONDAJE VESICAL S/GUANTES;6;12;EQ SONDAJE VESICAL S/GUANTES
M08/B04/00;2140634;SONDA VESICAL INTERMITENTE 14;2;4;SND VESICAL FEMENINA N14
M08/B04/00;2141160;SONDA RECTAL RÍGIDA 22;2;4;SND RECTAL S/BALON CH22
M08/B05/00;2140903;SONDA VESICAL FOLEY 16F;5;10;SND VESICAL FOLEY S..PNT RCT C/BALON 16F
M08/B05/00;2268001;SONDA VESICAL FOLEY 14F;5;10;SND VESICAL FOLEY S..CT C/BALON 14F 40CM
M08/B05/00;2281612;SONDA VESICAL FOLEY 12F;2;4;SND VESICAL FOLEY S..PNT RCT C/BALON 12F
M08/B07/00;2253685;BOLSA UROSTOMÍA 40MM;30;60;BLS UROSTOMIA TRANS..40MM ESTOMA 10-35MM
M08/B07/00;2233956;DISCO OSTOMÍA 40MM;5;10;DISCO OSTOMIA EXTRA..40MM ESTOMA 10-35MM
